,result
165,6009.327217193125
166,5947.77930956148
167,6015.331586153551
168,5873.828903768903
169,6064.564573676016
170,5942.3365814912295
171,5995.99144890702
172,5949.910846034669
173,5965.6568984035275
174,6089.306022675363
175,6116.008325325494
176,6074.6113995576525
177,6039.155368666546
178,6034.349811647484
179,6154.9418929098265
180,6210.425250656028
181,6197.719355867053
182,5868.7581410952835
183,6023.58811882472
184,6116.973950558175
185,5993.104128173695
186,5988.241480070417
187,6013.223637433859
188,6108.28374985266
189,5974.472973698737
190,6102.326221103461
191,6017.507678376865
192,5923.953178934394
193,6088.222279164892
194,6042.422170261178
195,6121.3262853969945
196,5996.645539189177
197,6015.101782469146
198,6030.767743192329
199,5948.918082804599
200,6132.889241943129
201,5994.065329302399
202,6099.457433856799
203,5955.225834359935
204,6059.772952638511
205,5970.933120004625
206,6028.2135086517455
207,6105.071235259434
208,5958.416972543367
209,6152.730344978272
210,5990.683855328698
211,6050.6112188751495
212,5961.156220640804
213,6113.054386023105
214,6126.9177112486905
215,5973.57874712969
216,6037.254307367388
217,5958.182093991227
218,6034.9613913312805
219,6033.567390924856
220,6007.837591381281
221,5965.7867818363075
222,6033.08979140872
223,6033.368154677389
224,6013.635677894107
225,6005.9371419638765
226,5926.739736873919
227,5988.657852446815
228,5972.84684675312
229,6122.392527941661
230,6158.38289946778
231,5924.266318443484
232,5947.902075494976
233,6033.308590715082
234,6036.469897215636
235,6107.956973238469
236,5994.850482072443
237,6023.522478929986
238,6038.213544217147
239,6108.3217632365
240,6009.2450748258425
241,6225.144313726137
242,6149.2874372354245
243,6014.106410648049
244,5989.98522426555
245,5978.321278776323
246,6139.055563318623
247,6034.5015388471265
248,6139.874731525024
249,6178.033608964156
250,5993.640317707629
251,6073.340303217896
252,5929.697926410735
253,6069.990911429054
254,6127.425831321119
255,6068.940108567058
256,6125.279741857807
257,6057.902169519804
258,5997.563997145301
259,6150.4305577856885
260,6041.9726228603995
261,6108.052991191552
262,6033.239831396709
263,6083.286681286129
264,6087.496715587248
265,6242.183620348255
266,6133.70606816121
267,6084.420769749603
268,6045.482295620868
269,6082.833230594557
270,5942.99023819421
271,6093.810553844091
272,6122.941208747704
273,6057.678773962555
274,6029.210616026991
275,6012.616319878706
276,6082.881685237939
277,6117.587811738138
278,6035.316405006882
279,6027.344893593569
280,6085.209764347401
281,6084.740484098652
282,6051.6715760464385
283,6089.699600318856
284,6151.444776389585
285,6110.118731340053
286,6126.076569124593
287,5973.445066194262
288,5986.476792489455
289,5961.469956813488
290,6003.499326085466
291,6005.368189647202
292,5977.997548492933
293,6014.235530652951
294,5948.330933703341
295,5989.7571626489735
296,6130.944808685658
297,5910.173972225351
298,6117.48123373894
299,6071.468171265467
300,6038.857702030867
301,6011.430588760172
302,6049.886259777215
303,6032.332003976867
304,6073.227986672876
305,6183.128857688583
306,6073.318846912333
307,5918.0119163040035
308,6000.371602093092
309,5954.412048154692
310,5975.2287268775835
311,6244.135729396944
312,6166.006479809946
313,5907.332619556577
314,5999.795498025923
315,5981.413431219545
316,6180.9274062588975
317,6218.659464850666
318,6130.251617067292
319,6092.709538300562
320,5925.68765791034
321,6000.231974484425
322,6012.890450376118
323,6100.420432009976
324,5990.406158416389
325,6095.046732327345
326,6048.308246449387
327,6083.104654271703
328,6000.674199057252
329,6011.411200481968
330,5973.276600968693
331,5942.216445059401
332,6033.794460484734
333,6227.820266574043
334,6086.45152225976
335,5993.772072982307
336,6132.134691470158
337,6166.024296851614
338,6019.584947740899
339,6098.446644946486
340,6019.203884905227
341,5935.9394382932605
342,6099.366897364779
343,6098.6687116168105
344,6083.814497615103
345,5973.275801858355
346,5934.98045768719
347,6162.703439586877
